Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Animate Dead",2,52989,Uncommon,VMA,104/325,No
"Annul",5,50158,Common,THS,38/249,No
"Aphetto Alchemist",1,17817,Uncommon,ONS,64/350,No
"Appetite for Brains",1,44289,Uncommon,AVR,84/244,No
"Arachnus Web",6,41459,Common,M12,163/249,No
"Arbalest Elite",8,41359,Uncommon,M12,5/249,No
"Arbiter of the Ideal",1,51723,Rare,BNG,31/165,No
"Arbor Colossus",4,50402,Rare,THS,150/249,No
"Arbor Elf",8,45364,Common,M13,160/249,No
"Arcbound Ravager",4,20597,Rare,DST,100/165,No
"Archaeomancer",14,45496,Common,M13,41/249,No
"Archangel",3,44135,Uncommon,AVR,5/244,No
"Archetype of Courage",1,51757,Uncommon,BNG,4/165,No
"Archetype of Endurance",1,51845,Uncommon,BNG,116/165,No
"Archetype of Finality",2,51809,Uncommon,BNG,58/165,No
"Architects of Will",4,32322,Common,ARB,17/145,No
"Arctic Aven",3,45628,Uncommon,M13,42/249,No
"Ark of Blight",1,18926,Uncommon,SCG,140/143,No
"Armored Skaab",10,42700,Common,ISD,43/264,No
"Armored Transport",1,47617,Common,GTC,226/249,No
"Armored Warhorse",5,41493,Common,M12,7/249,No
"Armory Guard",3,46295,Common,RTR,2/274,No
"Arms Dealer",4,45662,Uncommon,M13,120/249,No
"Arrow Storm",2,54358,Common,KTK,98/269,No
"Artful Dodge",5,43403,Common,DKA,27/158,No
"Ashling the Pilgrim",1,28369,Rare,LRW,149/301,No
"Ashmouth Hound",21,42584,Common,ISD,128/264,No
"Aspect of Hydra",2,51557,Common,BNG,117/165,No
"Assault Griffin",8,47595,Common,GTC,4/249,No
"Astral Cornucopia",1,51737,Rare,BNG,157/165,No
"Astral Steel",1,18660,Common,SCG,2/143,No
"Atog",4,19797,Uncommon,MRD,86/306,No
"Attended Knight",9,45492,Common,M13,5/249,No
"Auramancer",7,41644,Common,PRM,585/1158,No
"Auriok Sunchaser",4,38199,Common,SOM,4/249,No
"Aurochs Herd",4,24743,Common,CSP,103/155,No
"Autumn's Veil",5,41317,Uncommon,M12,164/249,No
"Avacynian Priest",10,42302,Common,ISD,4/264,No
"Avacyn's Collar",1,43441,Uncommon,DKA,145/158,No
"Avacyn's Pilgrim",24,42678,Common,ISD,170/264,No
"Aven Fleetwing",9,41141,Common,M12,44/249,No
"Aven Liberator",1,18656,Common,SCG,4/143,No
"Aven Redeemer",1,18449,Common,LGN,3/145,No
"Aven Squire",7,45276,Common,M13,6/249,No
"Awaken the Bear",1,54386,Common,KTK,129/269,No
"Axebane Guardian",4,46625,Common,RTR,115/274,No
"Axebane Stag",1,46627,Common,RTR,116/274,No
"Azorius Arrester",4,46281,Common,RTR,5/274,No
"Azorius Chancery",4,24027,Common,DIS,170/180,No
"Azorius Charm",4,46421,Uncommon,RTR,145/274,No
"Azorius First-Wing",1,24051,Common,DIS,105/180,No
"Azorius Guildgate",4,46379,Common,RTR,237/274,No
"Azorius Guildmage",2,32586,Uncommon,PRM,373/1158,Yes
"Azorius Signet",4,24023,Common,DIS,159/180,No
"Azure Mage",5,41449,Uncommon,M12,45/249,No
"Baleful Eidolon",4,50164,Common,THS,78/249,No
"Balustrade Spy",4,47889,Common,GTC,57/249,No
"Banishing Stroke",2,44073,Uncommon,AVR,7/244,No
"Banners Raised",11,43901,Common,AVR,127/244,No
"Bar the Door",17,43435,Common,DKA,2/158,No
"Barren Moor",6,53055,Common,VMA,292/325,No
"Barter in Blood",5,43895,Uncommon,AVR,85/244,No
"Basilica Guards",1,47651,Common,GTC,5/249,No
"Basilica Screecher",4,47717,Common,GTC,58/249,No
"Batterskull",1,39974,Mythic Rare,NPH,130/175,No
"Battle Hymn",10,44183,Common,AVR,128/244,No
"Battleflight Eagle",8,45602,Common,M13,7/249,No
"Battleground Geist",4,42636,Uncommon,ISD,45/264,No
"Battlewise Hoplite",1,50534,Uncommon,THS,189/249,No
"Battlewise Valor",1,50576,Common,THS,1/249,No
"Beast Within",4,39884,Uncommon,NPH,103/175,No
"Beckon Apparition",1,47869,Common,GTC,212/249,No
"Beetleback Chief",1,53013,Common,VMA,150/325,No
"Benalish Knight",1,9239,Common,WL,9/167,No
"Benalish Veteran",6,41481,Common,M12,10/249,No
"Benediction of Moons",1,23773,Common,GPT,3/165,No
"Benevolent Unicorn",1,6807,Common,MI,4/350,No
"Benthic Giant",1,50156,Common,THS,41/249,No
"Betrothed of Fire",1,9191,Common,WL,89/167,No
"Bident of Thassa",3,50406,Rare,THS,42/249,No
"Birds of Paradise",4,37576,Rare,M11,165/249,No
"Bitter Revelation",1,54006,Common,KTK,65/269,No
"Bitterheart Witch",4,42784,Uncommon,ISD,88/264,No
"Black Cat",6,43157,Common,DKA,54/158,No
"Black Oak of Odunos",1,51805,Uncommon,BNG,62/165,No
"Bladed Bracers",11,43829,Common,AVR,213/244,No
"Bladetusk Boar",11,45350,Common,M13,121/249,No
"Bladewing's Thrall",1,18920,Uncommon,SCG,55/143,No
"Blastoderm",1,52875,Uncommon,VMA,198/325,No
"Blazing Torch",16,42364,Common,ISD,216/264,No
"Blessings of Nature",2,43943,Uncommon,AVR,168/244,No
"Blightning",1,30984,Common,ALA,156/249,Yes
"Blinkmoth Nexus",4,48882,Rare,MMA,220/229,No
"Blood Artist",3,44105,Uncommon,AVR,86/244,No
"Blood Celebrant",1,18559,Common,LGN,61/145,No
"Blood Crypt",4,46505,Rare,RTR,238/274,No
"Blood Feud",2,43231,Uncommon,DKA,83/158,No
"Blood Moon",2,19587,Rare,8ED,178/350,No
"Blood Ogre",5,41425,Common,M12,122/249,No
"Blood Reckoning",4,45650,Uncommon,M13,81/249,No
"Blood Seeker",6,41261,Common,M12,81/249,No
"Bloodcrazed Hoplite",1,52046,Common,JOU,61/165,No
"Bloodcrazed Neonate",18,42816,Common,ISD,131/264,No
"Bloodfell Caves",1,54468,Common,KTK,229/269,No
"Bloodflow Connoisseur",11,44121,Common,AVR,87/244,No
"Bloodhunter Bat",12,45508,Common,M13,82/249,No
"Bloodhusk Ritualist",1,35727,Uncommon,WWK,50/145,No
"Bloodrage Vampire",5,41381,Common,M12,83/249,No
"Bloodrock Cyclops",1,9185,Common,WL,90/167,No
"Bloodstained Mire",4,54198,Rare,KTK,230/269,No
"Bloodthrone Vampire",10,45370,Common,M13,83/249,No
"Bogardan Firefiend",1,9193,Common,WL,91/167,No
"Boggart Forager",1,28693,Common,LRW,154/301,No
"Bolt of Keranos",1,51637,Common,BNG,89/165,No
"Bomber Corps",2,47553,Common,GTC,86/249,No
"Bond Beetle",4,45530,Common,M13,161/249,No
"Bonds of Faith",13,42358,Common,ISD,5/264,No
"Bone Splinters",13,43855,Common,AVR,88/244,No
"Bone to Ash",4,43413,Common,DKA,29/158,No
"Bonebreaker Giant",5,41519,Common,M12,123/249,No
"Boneyard Wurm",1,42826,Uncommon,ISD,171/264,No
"Boon of Erebos",2,50580,Common,THS,80/249,No
"Boon Satyr",4,50136,Rare,THS,152/249,No
"Borderland Minotaur",1,50340,Common,THS,114/249,No
"Borderland Ranger",17,43827,Common,AVR,169/244,No
"Boros Charm",4,47477,Uncommon,GTC,148/249,No
"Boros Garrison",4,23116,Common,RAV,275/306,No
"Boros Guildgate",4,47449,Common,GTC,239/249,No
"Boros Recruit",2,23362,Common,RAV,243/306,No
"Boros Signet",4,23566,Common,RAV,255/306,No
"Boseiju, Who Shelters All",1,21135,Rare,CHK,273/306,No
"Boulderfall",3,50564,Common,THS,115/249,No
"Bountiful Harvest",11,45290,Common,M13,163/249,No
"Bounty Hunter",1,9779,Rare,TE,110/350,No
"Bow of Nylea",1,50412,Rare,THS,153/249,No
"Bower Passage",4,44273,Uncommon,AVR,170/244,No
"Brain Pry",1,24165,Uncommon,DIS,39/180,No
"Brain Weevil",14,42614,Common,ISD,91/264,No
"Brainstorm",4,53117,Common,VMA,58/325,No
"Bramblecrush",2,42488,Uncommon,ISD,172/264,No
"Branchsnap Lorian",1,18371,Uncommon,LGN,118/145,No
"Brave the Elements",4,37857,Uncommon,PRM,196/1158,No
"Breaching Hippocamp",3,50448,Common,THS,43/249,No
"Break of Day",13,43373,Common,DKA,3/158,No
"Breeding Pool",4,47475,Rare,GTC,240/249,No
"Briar Shield",1,9181,Common,WL,121/167,No
"Briarpack Alpha",1,43317,Uncommon,DKA,108/158,No
"Brightstone Ritual",1,18035,Common,ONS,191/350,No
"Brimstone Volley",19,42580,Common,ISD,132/264,No
"Brindle Boar",6,41313,Common,M12,167/249,No
"Brindle Shoat",2,53011,Common,VMA,199/325,No
"Bring Low",1,54028,Common,KTK,103/269,No
"Brink of Disaster",7,41271,Common,M12,84/249,No
"Bronze Sable",2,50204,Common,THS,212/249,No
"Builder's Blessing",3,43867,Uncommon,AVR,8/244,No
"Bump in the Night",30,42408,Common,ISD,92/264,No
"Burden of Guilt",18,43459,Common,DKA,4/158,No
"Burning Wish",1,53001,Rare,VMA,152/325,No
"Burnished Hart",1,50248,Uncommon,THS,213/249,No
"Burrenton Shield-Bearers",1,29054,Common,MOR,4/150,No
"Burst Lightning",2,34408,Common,ZEN,119/249,No
"Burst of Strength",2,47549,Common,GTC,115/249,No
"Butcher Ghoul",11,44197,Common,AVR,89/244,No
"Butcher's Cleaver",1,42286,Uncommon,ISD,217/264,No
"Cabal Ritual",6,52959,Uncommon,VMA,106/325,No
"Caldera Lake",1,52679,Uncommon,VMA,295/325,No
"Call of the Herd",1,36108,Rare,PRM,455/1158,No
"Call to Serve",7,43993,Common,AVR,9/244,No
"Caller of Gales",1,34512,Common,ZEN,43/249,No
"Calming Licid",1,10197,Uncommon,ST,2/143,No
"Cancel",1,53988,Common,KTK,33/269,No
"Canyon Minotaur",7,45278,Common,M13,122/249,No
"Canyon Wildcat",1,9579,Common,TE,167/350,No
"Capsize",4,36040,Common,PRM,232/1158,No
"Captain's Call",4,45494,Common,M13,9/249,No
"Carapace Forger",4,38201,Common,SOM,114/249,No
"Caravan Vigil",19,42600,Common,ISD,173/264,No
"Carnage Wurm",9,41419,Uncommon,M12,168/249,No
"Carrion Feeder",1,18680,Common,SCG,59/143,No
"Cartel Aristocrat",1,47569,Uncommon,GTC,150/249,No
"Castigate",2,23843,Common,GPT,106/165,No
"Caterwauling Boggart",1,28295,Common,LRW,157/301,No
"Cathedral Sanctifier",16,44053,Common,AVR,11/244,No
"Cavalry Pegasus",1,50433,Common,THS,2/249,Yes
"Celestial Purge",5,41181,Uncommon,M12,11/249,No
"Cellar Door",4,42312,Uncommon,ISD,218/264,No
"Centaur Battlemaster",2,50494,Uncommon,THS,154/249,No
"Centaur Courser",14,45288,Common,M13,164/249,No
"Centaur Healer",1,46357,Common,RTR,148/274,No
"Centaur's Herald",1,46621,Common,RTR,118/274,No
"Chain Lightning",3,52911,Common,VMA,153/325,No
"Chainer's Edict",2,53167,Common,VMA,108/325,No
"Chandra's Fury",11,45528,Common,M13,124/249,No
"Chandra's Outrage",4,41327,Common,M12,125/249,No
"Chant of the Skifsang",8,43383,Common,DKA,31/158,No
"Chapel Geist",7,42528,Common,ISD,7/264,No
"Charging Badger",3,51641,Common,BNG,118/165,No
"Chartooth Cougar",1,18662,Common,SCG,84/143,No
"Chasm Drake",6,41421,Common,M12,48/249,No
"Chemister's Trick",1,46367,Common,RTR,149/274,No
"Child of Night",7,41615,Common,M12,87/249,No
"Chill Haunting",1,18880,Uncommon,SCG,60/143,No
"Chimeric Sphere",1,9365,Uncommon,WL,148/167,No
"Chittering Rats",4,20387,Common,DST,39/165,No
"Choking Sands",2,52605,Common,VMA,109/325,No
"Choking Tethers",1,53033,Common,VMA,59/325,No
"Choking Vines",1,9395,Common,WL,123/167,No
"Chorus of the Tides",1,51777,Common,BNG,33/165,No
"Chosen by Heliod",4,50322,Common,THS,5/249,No
"Chosen of Markov",6,43206,Common,DKA,55/158,Yes
"Chromatic Sphere",4,19891,Common,MRD,151/306,No
"Chromatic Star",4,25809,Common,TSP,251/301,No
"Chronic Flooding",1,46589,Common,RTR,32/274,No
"Chronicler of Heroes",1,50536,Uncommon,THS,190/249,No
"Chronomaton",7,45688,Uncommon,M13,201/249,No
"Cinder Marsh",1,10049,Uncommon,TE,317/350,No
"Circle of Flame",7,41649,Common,PRM,586/1158,Yes
"Circular Logic",1,52967,Common,VMA,60/325,No
"Civic Wayfinder",1,23008,Common,RAV,157/306,No
"Civilized Scholar",4,42348,Uncommon,ISD,47/264,No
"Claim of Erebos",1,51615,Common,BNG,64/165,No
"Claustrophobia",8,42620,Common,ISD,48/264,No
"Claws of Valakut",1,35691,Common,WWK,75/145,No
"Claws of Wirewood",3,53139,Common,VMA,201/325,No
"Cleaver Riot",8,45664,Uncommon,M13,125/249,No
"Clinging Anemones",1,47777,Common,GTC,31/249,No
"Clinging Mists",6,43412,Common,DKA,109/158,Yes
"Cloaked Siren",1,52092,Common,JOU,32/165,No
"Clock of Omens",4,45692,Uncommon,M13,202/249,No
"Cloistered Youth",1,42352,Uncommon,ISD,8/264,No
"Cloud Spirit",1,10205,Common,ST,26/143,No
"Cloudfin Raptor",3,47523,Common,GTC,32/249,No
"Cloudpost",4,20191,Common,MRD,280/306,No
"Cloudreach Cavalry",1,18625,Uncommon,LGN,7/145,No
"Cloudshift",16,43887,Common,AVR,12/244,No
"Clutch of Undeath",1,18842,Common,SCG,61/143,No
"Coastline Chimera",1,50486,Common,THS,44/249,No
"Cobbled Wings",10,42326,Common,ISD,219/264,No
"Colossal Heroics",1,52192,Uncommon,JOU,118/165,No
"Colossus of Akros",1,50394,Rare,THS,214/249,No
"Combust",4,41293,Uncommon,M12,128/249,No
"Common Bond",1,46639,Common,RTR,151/274,No
"Commune with the Gods",5,50592,Common,THS,155/249,No
"Compulsive Research",4,23294,Common,RAV,40/306,No
"Concordia Pegasus",2,46285,Common,RTR,8/274,No
"Cone of Flame",1,9425,Uncommon,WL,95/167,No
"Consume Spirit",6,41239,Uncommon,M12,88/249,No
"Contempt",1,10214,Common,ST,27/143,Yes
"Coral Merfolk",8,41249,Common,M12,49/249,No
"Corpse Blockade",1,47579,Common,GTC,60/249,No
"Corpse Lunge",9,42691,Common,ISD,93/264,Yes
"Corpse Traders",7,43840,Uncommon,AVR,90/244,Yes
"Corrupt",4,29419,Uncommon,SHM,62/301,No
"Council's Judgment",1,53181,Rare,VMA,20/325,No
"Counterflux",2,46487,Rare,RTR,153/274,No
"Counterspell",5,52827,Common,VMA,64/325,No
"Coursers' Accord",2,46637,Common,RTR,154/274,No
"Court Street Denizen",4,47633,Common,GTC,8/249,No
"Courtly Provocateur",5,45630,Uncommon,M13,46/249,No
"Covert Operative",1,18361,Common,LGN,33/145,No
"Cower in Fear",6,45648,Uncommon,M13,84/249,No
"Crackling Perimeter",1,47891,Uncommon,GTC,88/249,No
"Cranial Plating",4,20824,Common,5DN,113/165,No
"Crash of Rhinos",1,6873,Common,MI,210/350,No
"Craterize",11,45658,Common,M13,126/249,No
"Craven Giant",1,10221,Common,ST,78/143,No
"Cremate",2,23757,Common,GPT,45/165,No
"Crib Swap",2,28561,Uncommon,LRW,11/301,No
"Crimson Mage",4,41351,Uncommon,M12,129/249,No
"Crimson Muckwader",3,45660,Uncommon,M13,127/249,No
"Crippling Blight",9,45512,Common,M13,85/249,No
"Crippling Chill",14,54298,Common,KTK,35/269,No
"Crossbow Ambush",1,10223,Common,ST,105/143,No
"Crossway Vampire",21,42550,Common,ISD,135/264,No
"Crown of Empires",6,41471,Uncommon,M12,203/249,No
"Cruel Edict",1,35062,Rare,PRM,419/1158,No
"Crumbling Colossus",5,41377,Uncommon,M12,204/249,No
"Crusader of Odric",2,45540,Uncommon,M13,10/249,No
"Crusher Zendikon",1,35545,Common,WWK,78/145,No
"Crushing Vines",4,43449,Common,DKA,110/158,No
"Cry of Contrition",1,23785,Common,GPT,46/165,No
"Crypsis",3,51779,Common,BNG,34/165,No
"Crypt Creeper",17,44022,Common,AVR,91/244,Yes
"Cryptic Command",4,28499,Rare,LRW,56/301,No
"Cudgel Troll",5,41191,Uncommon,M12,169/249,No
"Culling Mark",4,51653,Common,BNG,120/165,No
"Cuombajj Witches",4,27853,Common,MED,65/195,No
"Curfew",2,12037,Common,UZ,68/350,No
"Curiosity",6,42538,Uncommon,ISD,49/264,No
"Curse of Oblivion",14,42634,Common,ISD,95/264,No
"Curse of the Bloody Tome",13,42536,Common,ISD,50/264,No
"Curse of the Pierced Heart",16,42830,Common,ISD,138/264,No
"Curse of the Swine",1,50378,Rare,THS,46/249,No
"Curse of Thirst",1,43499,Uncommon,PRM,984/1158,No
"Cursebreak",15,44035,Common,AVR,14/244,No
"Cutthroat Maneuver",2,50226,Uncommon,THS,82/249,No
"Cyclops of One-Eyed Pass",2,51825,Common,BNG,90/165,No
"Cytospawn Shambler",1,24261,Common,DIS,82/180,No
"Daggerclaw Imp",2,23771,Uncommon,GPT,48/165,No
"Dakra Mystic",1,52104,Uncommon,JOU,35/165,No
"Dangerous Wager",20,44129,Common,AVR,131/244,No
"Daring Skyjek",4,47613,Common,GTC,9/249,No
"Dark Betrayal",4,50622,Uncommon,THS,83/249,No
"Dark Favor",9,45434,Common,M13,86/249,No
"Dark Privilege",1,7513,Common,VI,56/167,No
"Dark Ritual",6,52637,Common,VMA,113/325,No
"Darkblast",2,23170,Uncommon,RAV,82/306,No
"Darkling Stalker",1,9487,Common,TE,119/350,No
"Darksteel Citadel",4,20497,Common,DST,164/165,No
"Darkthicket Wolf",17,42666,Common,ISD,175/264,No
"Daru Cavalier",1,18323,Common,ONS,18/350,No
"Daru Spiritualist",1,18876,Common,SCG,5/143,No
"Dauntless Onslaught",1,50216,Uncommon,THS,6/249,No
"Dawnfluke",2,28627,Common,LRW,12/301,No
"Dawntreader Elk",5,43199,Common,DKA,111/158,No
"Daxos of Meletis",1,50532,Rare,THS,191/249,No
"Daze",4,14009,Common,NE,30/143,No
"Dead Weight",15,42314,Common,ISD,96/264,No
"Deadly Recluse",11,45292,Common,M13,165/249,No
"Deadshot Minotaur",4,32270,Common,ARB,52/145,No
"Death Wind",6,44137,Common,AVR,93/244,No
"Deathbellow Raider",2,50180,Common,THS,117/249,No
"Deathcult Rogue",1,47525,Common,GTC,218/249,No
"Deathforge Shaman",1,35745,Uncommon,WWK,80/145,No
"Deathmark",6,41247,Uncommon,M12,90/249,No
"Death's Approach",2,47574,Common,GTC,62/249,Yes
"Death's Caress",8,43427,Common,DKA,59/158,No
"Death's-Head Buzzard",1,53149,Common,VMA,115/325,No
"Debilitating Injury",1,54004,Common,KTK,68/269,No
"Debtor's Pulpit",1,47473,Uncommon,GTC,10/249,No
"Deceiver Exarch",4,39726,Uncommon,NPH,33/175,No
"Decree of Savagery",1,18888,Rare,SCG,115/143,No
"Deep Analysis",4,17135,Common,TOR,36/143,No
"Deepwater Hypnotist",1,51775,Common,BNG,35/165,No
"Defang",10,43999,Common,AVR,15/244,No
"Defend the Hearth",1,50476,Common,THS,156/249,No
"Defy Death",2,43845,Uncommon,AVR,16/244,No
"Deicide",2,52112,Rare,JOU,7/165,No
"Delver of Secrets",9,42437,Common,ISD,51/264,Yes
"Demolish",18,50582,Common,THS,118/249,No
"Demonic Dread",4,32440,Common,ARB,38/145,No
"Demonic Taskmaster",2,44187,Uncommon,AVR,95/244,No
"Demonic Tutor",1,52849,Mythic Rare,VMA,116/325,No
"Demonmail Hauberk",10,42496,Uncommon,ISD,221/264,No
"Demon's Horn",5,41593,Uncommon,M12,205/249,No
"Demon's Jester",1,24307,Common,DIS,42/180,No
"Demystify",4,41281,Common,M12,13/249,No
"Deranged Assistant",11,42332,Common,ISD,52/264,No
"Deranged Hermit",1,52793,Rare,VMA,202/325,No
"Desecration Plague",1,52070,Common,JOU,120/165,No
"Desert Twister",1,53227,Uncommon,VMA,203/325,No
"Desertion",1,47967,Rare,PRM,1072/1158,No
"Desperate Ravings",5,42642,Uncommon,ISD,139/264,No
"Desperate Ritual",4,21529,Common,CHK,163/306,No
"Despise",1,54102,Uncommon,KTK,69/269,No
"Destructive Revelry",2,50428,Uncommon,THS,192/249,No
"Devour Flesh",4,47837,Common,GTC,63/249,No
"Devouring Light",1,23426,Uncommon,RAV,13/306,No
"Devouring Swarm",5,41509,Common,M12,91/249,No
"Devout Chaplain",2,44227,Uncommon,AVR,17/244,No
"Diabolic Tutor",6,41121,Uncommon,M12,92/249,No
"Dictate of Kruphix",2,52327,Rare,PRM,1144/1158,Yes
"Dig Through Time",4,54316,Rare,KTK,36/269,No
"Dimir Aqueduct",4,23192,Common,RAV,276/306,No
"Dimir Guildgate",4,47451,Common,GTC,241/249,No
"Dimir Guildmage",2,32580,Uncommon,PRM,375/1158,Yes
"Dimir House Guard",1,23186,Common,RAV,83/306,No
"Dimir Infiltrator",1,23286,Common,RAV,203/306,No
"Dimir Keyrune",1,47489,Uncommon,GTC,228/249,No
"Dimir Signet",4,23562,Common,RAV,260/306,No
"Diregraf Escort",11,44055,Common,AVR,174/244,No
"Dirge of Dread",1,17911,Common,ONS,138/350,No
"Disciple of Grace",1,17673,Common,ONS,25/350,No
"Disciple of Phenax",1,50466,Common,THS,84/249,No
"Disdainful Stroke",1,53982,Common,KTK,37/269,No
"Disembowel",1,22988,Common,RAV,85/306,No
"Disenchant",1,9667,Common,TE,16/350,No
"Disentomb",16,45308,Common,M13,89/249,No
"Disfigure",4,34450,Common,ZEN,87/249,No
"Dismal Backwater",1,54467,Common,KTK,232/269,Yes
"Dismember",4,39944,Uncommon,NPH,57/175,No
"Disowned Ancestor",1,54320,Common,KTK,70/269,No
"Dispel",5,46587,Common,RTR,36/274,No
"Dissolve",1,50360,Uncommon,THS,47/249,No
"Distress",5,41521,Common,M12,94/249,No
"Divination",23,51599,Common,BNG,36/165,No
"Divine Favor",8,45430,Common,M13,11/249,No
"Divine Verdict",15,50148,Common,THS,8/249,No
"Dogpile",1,23498,Common,RAV,120/306,No
"Doom Blade",3,41205,Common,M12,95/249,No
"Doomed Traveler",10,42650,Common,ISD,11/264,No
"Doorkeeper",4,46575,Common,RTR,37/274,No
"Douse in Gloom",2,23847,Common,GPT,49/165,No
"Downpour",9,45502,Common,M13,48/249,No
"Dragon Hatchling",11,45516,Common,M13,128/249,No
"Dragon Mantle",1,50342,Common,THS,119/249,No
"Dragon Shadow",1,18856,Common,SCG,65/143,No
"Dragonscale Boon",2,54382,Common,KTK,131/269,No
"Dragonspeaker Shaman",1,18906,Uncommon,SCG,89/143,No
"Drain the Well",4,29964,Common,EVE,121/180,No
"Drakewing Krasis",3,47589,Common,GTC,157/249,No
"Dreadwaters",19,43892,Common,AVR,49/244,Yes
"Dream Twist",14,42680,Common,ISD,54/264,No
"Dreamborn Muse",1,18601,Rare,LGN,36/145,No
"Dreampod Druid",1,53017,Uncommon,VMA,204/325,No
"Drifting Shade",4,41363,Common,M12,96/249,No
"Dripping Dead",2,18479,Common,LGN,67/145,No
"Driver of the Dead",6,43825,Common,AVR,99/244,No
"Druid's Familiar",1,44001,Uncommon,AVR,175/244,No
"Dryad Arbor",4,26882,Uncommon,FUT,174/180,No
"Dryad Militant",4,46411,Uncommon,RTR,214/274,No
"Duneblast",1,54428,Rare,KTK,174/269,No
"Duress",13,45341,Common,M13,90/249,Yes
"Duskdale Wurm",5,45254,Uncommon,M13,166/249,No
"Duskhunter Bat",10,41441,Common,M12,97/249,No
"Duskmantle Prowler",2,45550,Uncommon,M13,91/249,No
"Duskmantle, House of Shadow",1,23070,Uncommon,RAV,277/306,No
"Dutiful Return",1,54330,Common,KTK,71/269,No
"Dutiful Thrull",1,47507,Common,GTC,11/249,No
"Duty-Bound Dead",22,45504,Common,M13,92/249,No
"Dynacharge",4,46337,Common,RTR,92/274,No
"Earthblighter",1,18526,Uncommon,LGN,68/145,Yes
"Earthbrawn",1,28962,Common,MOR,119/150,No
"Eaten by Spiders",1,44177,Uncommon,AVR,177/244,No
"Echo Tracer",1,18417,Common,LGN,37/145,No
"Echoing Decay",4,20367,Common,DST,41/165,No
"Echoing Truth",3,20363,Common,DST,21/165,No
"Eidolon of Rhetoric",4,52232,Uncommon,JOU,10/165,No
"Eidolon of the Great Revel",2,52246,Rare,JOU,94/165,No
"Elder Cathar",12,42416,Common,ISD,12/264,No
"Electrickery",4,46339,Common,RTR,93/274,No
"Electrolyze",2,23629,Uncommon,GPT,111/165,No
"Electrostatic Bolt",4,19719,Common,MRD,89/306,No
"Elephant Guide",3,52915,Common,VMA,205/325,No
"Elgaud Inquisitor",9,43255,Common,DKA,6/158,No
"Elgaud Shieldmate",20,43835,Common,AVR,50/244,No
"Elite Skirmisher",2,51749,Common,BNG,8/165,No
"Elite Vanguard",4,41139,Uncommon,M12,15/249,No
